query,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping,remarks
CC(OC(=O)COC1=CC=CC(OC2=CC=CC=N2)=C1)C(=O)C1=CC=C2C(=C1)CC(=O)N2C,-4.884543418884277,80.71783447265625,50.80421829223633,6.480350494384766,2.8479909896850586,3.1698737144470215,90.79547119140625,-4.725961208343506,-0.32104477286338806,0.005734167993068695,0.999595582485199,0.973768413066864,0.0008315262384712696,0.977156400680542,0.004182792268693447,1.97719737116131e-06,0.9905237555503845,0.99866783618927,0.989750325679779,0.9933967590332031,0.9994471669197083,0.9965921640396118,446.14778642399995,0,3.5862000000000025,33,7,0,8,4,119.68850000000005,33,95.02999999999999,
CN1C(CCNC(=O)COC2=CC=CC(OC3=CC=CC=N3)=C2)=NC2=CC=C(F)C=C21,-4.6012797355651855,56.18381118774414,37.017120361328125,7.978949069976807,2.426253080368042,2.8305375576019287,89.36361694335938,-5.336012363433838,1.0233298540115356,0.4065253436565399,0.9691817164421082,0.9986159801483154,0.0025581878144294024,0.9966762065887451,0.0028152232989668846,0.001192980445921421,0.940375804901123,0.9999922513961792,0.9263544082641602,0.9991903901100159,0.9997531771659851,0.9477823376655579,420.1597687520001,0,3.637400000000002,31,6,1,8,4,113.63370000000005,31,78.27000000000001,
CC1=C(O)C(=O)C=CN1CC(=O)NC1=CC=C(OC2=CC=CC3=CC=CN=C23)C=C1,-5.063436031341553,39.499454498291016,5.506912708282471,11.30854320526123,2.5133674144744873,2.9218342304229736,93.21696472167969,-4.846716403961182,0.40913110971450806,0.8122457265853882,0.23046094179153442,0.9987409710884094,0.012327812612056732,0.996711254119873,0.0012298889923840761,0.004347180016338825,0.9907389879226685,0.026334023103117943,0.9986937642097473,0.8034195303916931,0.9996028542518616,0.8472027778625488,401.13755608800005,0,3.841520000000002,30,6,2,5,4,113.99250000000002,30,93.45,
COC1=CC=C2C=CC=CC2=C1C1=NOC(COC(=O)CNC(=O)C2=NC=CC=C2O)=C1,-5.593098163604736,98.39867401123047,59.94906997680664,6.195896148681641,2.557976722717285,0.7074737548828125,94.5343246459961,-4.29929780960083,-0.2539931535720825,0.0416303314268589,0.043369922786951065,0.9707730412483215,0.0015529971569776535,0.9949012994766235,0.0003165536909364164,0.0048300353810191154,0.9486586451530457,0.9978007674217224,0.9998868703842163,0.9148987531661987,0.8597599267959595,0.9914040565490723,433.127385328,0,3.0772000000000013,32,8,2,7,4,114.028,32,123.78,
NC(=O)CN(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)CCN1C(=O)OC2=CC=CC=C21,-5.129976749420166,24.281484603881836,123.13803100585938,1.2681857347488403,1.8693598508834839,2.7606546878814697,95.71398162841797,-4.251473426818848,0.7344349026679993,0.0006875565741211176,0.9546088576316833,0.9828187823295593,0.0002008859592024237,0.863481342792511,0.0021107171196490526,0.002923752646893263,0.7492324709892273,0.9804077744483948,0.9937092065811157,0.9987106323242188,0.9852811694145203,0.9720714092254639,429.168856216,0,3.165700000000002,32,5,1,8,4,121.58040000000004,32,98.54,
O=C(CCCN1C(=O)OC2=CC=CC=C21)NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1,-4.857183933258057,78.67523193359375,59.33256530761719,11.019195556640625,2.144350290298462,2.5612924098968506,93.26493835449219,-5.747154235839844,1.7859536409378052,0.0007343114702962339,0.9244434833526611,0.9984809756278992,0.0009402913856320083,0.998752236366272,0.02375202253460884,0.009927889332175255,0.08726263791322708,0.999941349029541,0.9988263249397278,0.9994889497756958,0.9988834261894226,0.9456455707550049,439.13436252800005,0,4.156600000000003,32,6,1,8,4,112.22370000000002,32,86.36,
COCCC1=CC=C(OC2=CC=C(NC(=O)C3=CC=C4C(=O)N(C)C(=O)NC4=C3)C=C2)C=C1,-5.105223655700684,21.221410751342773,26.776304244995117,7.600040912628174,2.329819917678833,3.1618151664733887,93.30458068847656,-5.44891357421875,0.8040927052497864,0.4774593710899353,0.9591095447540283,0.9947383999824524,0.0013116010231897235,0.9383419156074524,0.00041195075027644634,7.885420200182125e-05,0.9956965446472168,0.9956890940666199,0.9894804954528809,0.9980409741401672,0.9995031356811523,0.9948742985725403,445.163770836,0,3.460300000000002,33,6,2,7,4,126.30090000000004,33,102.41999999999999,
CC1=NC=C2C=CC(C(=O)OCC(=O)NCC3=CC=CC=C3COC3=CC=CC=C3)=CN12,-5.05034065246582,71.91085815429688,107.87808227539062,4.96289587020874,2.3528709411621094,2.695638656616211,95.69391632080078,-5.133253574371338,-0.16132871806621552,0.19352495670318604,0.6445536613464355,0.9947064518928528,0.005385630298405886,0.9885916113853455,0.00877916719764471,0.0012780932011082768,0.9628955125808716,0.9996868371963501,0.9980334639549255,0.9997584223747253,0.9960624575614929,0.7811718583106995,429.16885621600005,0,3.6949200000000024,32,6,1,8,4,119.27420000000001,32,81.92999999999999,
COC1=CC2=C(C=C1OC)C(=O)N(CCC(=O)NCC1=CC=CC(C3=CC=CC=N3)=C1)C=N2,-5.1381988525390625,47.97239685058594,51.572532653808594,3.9055087566375732,2.2167327404022217,2.436995267868042,93.4814224243164,-5.87416934967041,-0.3402913808822632,0.10850778222084045,0.9443612694740295,0.7262259721755981,0.00018829695181921124,0.8845041394233704,0.407772421836853,0.000149451574543491,0.9887651205062866,0.9992620348930359,0.9378902912139893,0.9999716281890869,0.9990938901901245,0.9686561822891235,444.17975524800005,0,3.1822000000000017,33,7,1,8,4,125.24369999999999,33,95.34,
CC1=NC(C2=CC=CC=N2)=NC(O)=C1CCOC(=O)C1=CC=C(OCC2=NC=CN2C)C=C1,-5.505742073059082,56.15265655517578,38.37232971191406,1.5258289575576782,2.5973072052001953,0.43337059020996094,85.89480590820312,-4.133937358856201,0.01928081549704075,0.0012198147596791387,0.056124377995729446,0.9990187883377075,0.20906971395015717,0.33498358726501465,0.005677254404872656,0.00021390039182733744,0.5329058170318604,0.9951158761978149,0.9976674914360046,0.9998564720153809,0.812282145023346,0.9968903660774231,445.17500421600005,0,3.2646200000000016,33,9,1,8,4,119.63330000000003,33,112.25000000000003,
CC1=CC=C(C(=O)NC(CC(=O)OCC2=CC=C3C(=C2)OC(=O)N3C)C2=CC=CC=C2)C=C1,-5.0771098136901855,78.0489273071289,77.07723236083984,7.344308376312256,2.757565498352051,3.0843982696533203,93.53580474853516,-4.986974239349365,1.212099552154541,0.011682902462780476,0.15294748544692993,0.9995396137237549,0.18528489768505096,0.9942982792854309,0.003171814139932394,0.0027365139685571194,0.7139111161231995,0.9968979358673096,0.9975100755691528,0.985405445098877,0.9996552467346191,0.9437252879142761,444.16852186799997,0,4.044520000000003,33,6,1,7,4,123.69620000000002,33,90.54000000000002,
