,proteinID,ligandID,mean,median,max,min,var
0,7RE0-zinc,Mrv0541-02231214492D,-14.9,-14.899999999999999,-13.6,-16.2,1.7293023255813946
1,7RE0-zinc,Mrv1718005171816422D,-14.85,-14.85,-14.2,-15.5,0.43232558139534943
2,7RE0-no-extra,Mrv1909-01142022502D,-14.227272727272727,-14.25,-13.0,-15.4,1.4085412262156454
3,7RE0-no-extra,Mrv0541-02231215202D,-14.20909090909091,-14.2,-12.9,-15.6,1.7543340380549666
4,7RE0-zinc,Mrv1909-11302222542D,-14.202272727272726,-14.25,-13.2,-15.2,1.0188319238900627
5,7RE0-no-extra,Mrv1718007201812002D,-14.170454545454545,-14.2,-13.7,-14.7,0.1984090909090904
6,7RE0-no-extra,Mrv1909-11142221202D,-14.073333333333332,-14.1,-13.8,-14.2,0.0234022988505745
7,7RE0-zinc,Mrv1909-11222222552D,-14.05,-14.05,-13.3,-14.8,0.5755813953488373
8,7RE0-no-extra,Mrv1909-05201915052D-1704021549512,-13.956818181818182,-13.95,-13.7,-14.1,0.018324524312896332
9,7RE0-zinc,Glycyrrhetinic-acid-ChEBI,-13.9,-13.9,-13.4,-14.4,0.25581395348837166
10,7RE0-zinc,Mrv1909-05212117472D,-13.9,-13.899999999999999,-13.2,-14.6,0.5013953488372102
11,7RE0-no-extra,Mrv1909-06162017422D,-13.9,-13.9,-13.3,-14.5,0.26093023255813885
12,7RE0-no-extra,Mrv1909-05201914272D-1704021549171,-13.888636363636364,-13.899999999999999,-12.5,-15.2,1.7605655391120485
13,7RE0-no-extra,Mrv1652310211601272D-1704021547068,-13.861363636363636,-13.85,-13.1,-14.7,0.5940539112050734
14,7RE0-no-extra,Mrv0541-04191212162D-1704021536512,-13.781818181818181,-13.8,-12.1,-15.4,2.680591966173362
15,7RE0-no-extra,Mrv1572004101615042D,-13.770454545454545,-13.8,-13.1,-13.9,0.04306025369978885
16,7RE0-no-extra,Mrv1718006121812052D,-13.75,-13.75,-13.1,-14.4,0.43232558139534977
17,7RE0-zinc,Mrv1909-12101919052D,-13.7,-13.7,-13.5,-13.9,0.040930232558139726
18,7RE0-no-extra,Mrv1909-12171921492D,-13.693181818181818,-13.649999999999999,-13.6,-13.8,0.009487315010571042
19,7RE0-zinc,Mrv1909-07152216002D,-13.65,-13.65,-13.3,-14.0,0.12534883720930176
20,7RE0-no-extra,Mrv0541-08301318242D,-13.647727272727273,-13.6,-12.7,-14.6,0.9192970401691336
21,7RE0-zinc,Mrv1909-02062023042D,-13.595454545454544,-13.55,-13.2,-14.0,0.16044397463002008
22,7RE0-zinc,Mrv1909-09102114432D,-13.488636363636363,-13.55,-13.1,-13.9,0.11079809725158582
23,7RE0-zinc,Mrv1909-03072017262D,-13.477272727272727,-13.55,-13.1,-13.9,0.11202959830866831
24,7RE0-no-extra,Mrv1909-03042003442D,-13.445454545454545,-13.45,-12.7,-14.1,0.4388160676532761
25,7RE0-zinc,Mrv1652310211604252D-1704021547515,-13.390909090909089,-13.399999999999999,-13.0,-13.8,0.10177589852008452
26,7RE0-zinc,Mrv1572004191602432D,-13.327272727272726,-13.45,-11.3,-15.1,3.239238900634248
27,7RE0-zinc,1199,-13.25,-13.25,-13.0,-13.5,0.06395348837209283
28,7RE0-no-extra,Mrv1909-05201915042D-1704021549506,-13.240909090909092,-13.2,-11.8,-14.7,2.1252642706131066
29,7RE0-zinc,Mrv1652310201622512D,-13.2,-13.2,-13.0,-13.4,0.040930232558139754
30,7RE0-no-extra,Mrv1909-10112218422D,-13.195454545454545,-13.149999999999999,-12.6,-13.8,0.3632346723044401
31,7RE0-no-extra,Mrv1652306231722452D-1704021548255,-13.104545454545455,-13.149999999999999,-12.4,-13.8,0.3716067653276943
32,7RE0-zinc,Mrv1909-12152020022D-1704021550328,-13.104545454545455,-13.1,-13.0,-13.2,0.009281183932346592
33,7RE0-no-extra,Mrv1652310201623482D-1704021546611,-13.05,-13.05,-12.0,-14.1,1.128139534883721
34,7RE0-no-extra,Mrv1909-02212019082D,-13.043181818181818,-13.0,-12.9,-13.2,0.02158033826638484
35,7RE0-no-extra,Mrv1572004111623132D,-13.02727272727273,-13.05,-12.2,-13.9,0.6792389006342485
36,7RE0-no-extra,Mrv1652310211600172D,-13.0,-13.0,-12.2,-13.8,0.6548837209302338
37,7RE0-no-extra,Mrv1572004221603222D,-12.965909090909092,-13.0,-12.2,-13.4,0.1995084566596193
38,7RE0-no-extra,Mrv1909-07282220332D,-12.95,-12.95,-12.7,-13.2,0.06395348837209298
39,7RE0-zinc,Mrv1909-09142016392D,-12.909090909090908,-12.95,-12.6,-13.2,0.0873572938689214
40,7RE0-no-extra,Mrv0541-04191212112D,-12.888636363636364,-12.85,-12.6,-13.1,0.04475158562367865
41,7RE0-no-extra,Lupeol,-12.868181818181819,-12.850000000000001,-12.8,-13.0,0.0059408033826638005
42,7RE0-no-extra,Mrv1909-03182218372D,-12.756818181818181,-12.75,-12.5,-13.1,0.06809196617336209
43,7RE0-no-extra,Mrv1718008191817332D,-12.754545454545456,-12.45,-11.7,-13.5,0.3630021141649045
44,7RE0-zinc,Mrv1652310211600202D-1704021546784,-12.752272727272727,-12.75,-12.6,-12.9,0.0039482029598308516
45,7RE0-zinc,Mrv1572012161520342D,-12.75,-12.75,-12.3,-13.2,0.2072093023255804
46,7RE0-no-extra,Mrv1909-02102018162D,-12.747727272727273,-12.75,-12.1,-13.3,0.31232029598308725
47,7RE0-zinc,Mrv1909-10112218212D,-12.743181818181819,-12.7,-12.2,-13.2,0.2099524312896402
48,7RE0-zinc,Mrv1909-02092017092D,-12.715909090909092,-12.7,-12.6,-12.8,0.0022991543340380445
49,7RE0-zinc,Mrv1572004221606122D,-12.7,-12.7,-12.7,-12.7,0.0
50,7RE0-no-extra,Mrv1652306131722012D-1704021542073,-12.65227272727273,-12.7,-12.5,-12.8,0.022552854122622003
51,7RE0-no-extra,Mrv1652310201623072D-1704021546258,-12.65,-12.65,-12.5,-12.8,0.02302325581395373
52,7RE0-no-extra,Mrv1652310211600112D-1704021546740,-12.65,-12.649999999999999,-12.2,-13.1,0.20720930232558166
53,7RE0-no-extra,Mrv1909-12231902552D,-12.602272727272727,-12.6,-12.3,-12.8,0.03929704016913315
54,7RE0-zinc,Mrv1652310211604462D,-12.597727272727274,-12.600000000000001,-12.2,-12.9,0.09371564482029555
55,7RE0-zinc,Mrv1909-05201915082D-1704021549536,-12.502272727272727,-12.55,-11.9,-13.1,0.3658086680761087
56,7RE0-zinc,Mrv1909-09132216432D-1704021550567,-12.5,-12.5,-12.5,-12.5,0.0
57,7RE0-no-extra,Mrv1909-08212014252D,-12.5,-12.5,-12.2,-12.8,0.09209302325581455
58,7RE0-zinc,Mrv1652305011717592D,-12.461363636363636,-12.5,-12.4,-12.5,0.002426004228329815
59,7RE0-no-extra,Mrv0541-02231216492D-1704021539189,-12.363636363636363,-12.45,-12.1,-12.6,0.05957716701902745
60,7RE0-zinc,Mrv1909-05141920162D,-12.35,-12.350000000000001,-12.3,-12.4,0.0025581395348837576
61,7RE0-no-extra,Mrv1909-05212014182D,-12.318181818181818,-12.350000000000001,-11.6,-13.0,0.4680338266384783
62,7RE0-no-extra,Mrv0541-05041401352D,-12.293181818181818,-12.25,-11.7,-12.8,0.2541384778012688
63,7RE0-zinc,Mrv1572001261621122D,-12.272727272727273,-12.2,-12.2,-12.4,0.007145877378435718
64,7RE0-no-extra,Mrv1718009221814542D,-12.263636363636364,-12.25,-12.0,-12.6,0.07213530655391108
65,7RE0-zinc,Mrv1909-05201914582D-1704021549449,-12.172727272727274,-12.15,-11.9,-12.6,0.07784355179703999
66,7RE0-zinc,Mrv1909-07282218542D,-12.138095238095238,-12.1,-12.1,-12.3,0.003476190476190487
67,7RE0-zinc,Mrv0541-04191212172D,-12.09772727272727,-12.05,-12.0,-12.2,0.009994714587737779
68,7RE0-no-extra,Mrv1909-12181921482D,-12.05,-12.05,-11.4,-12.7,0.43232558139534916
69,7RE0-zinc,Mrv1652310211601282D,-11.963636363636363,-12.05,-11.5,-12.3,0.11632135306553941
70,7RE0-zinc,E04,-11.954545454545455,-11.9,-11.7,-12.2,0.05369978858350954
71,7RE0-zinc,Mrv1652310211602442D-1704021547279,-11.931818181818182,-11.95,-11.7,-12.1,0.03012684989429163
72,7RE0-no-extra,Mrv1652306231722482D,-11.85,-11.850000000000001,-11.3,-12.4,0.3095348837209297
73,7RE0-zinc,Mrv1909-01172019092D,-11.806818181818182,-11.8,-11.7,-11.9,0.009022198731501303
74,7RE0-zinc,Mrv1909-03022014522D,-11.770454545454545,-11.8,-11.5,-12.0,0.05515327695560259
75,7RE0-no-extra,Mrv1652310201623012D-1704021546192,-11.66590909090909,-11.7,-11.4,-11.7,0.003694503171247324
