ligandID,7RDX - rank,7RDX - mean,7RDY - rank,7RDY - mean,7RDZ - rank,7RDZ - mean,7RE0 - rank,7RE0 - mean
Mrv0541-02231214492D,0.0,-16.513636363636365,1,-15.847727272727274,1.0,-15.55,0.0,-14.9
Mrv0541-02231215202D,1.0,-15.552272727272726,4,-14.772727272727272,6.0,-14.311363636363636,3.0,-14.20909090909091
Mrv0541-02231215192D,2.0,-15.464,3,-14.802272727272726,,,,
Mrv1718007201812002D,3.0,-15.45,15,-14.34772727272727,26.0,-13.320454545454544,5.0,-14.170454545454543
Glycyrrhetinic-acid-ChEBI,4.0,-15.418181818181818,9,-14.445454545454544,18.0,-13.693181818181818,9.0,-13.9
Mrv1718005171816422D,5.0,-15.168181818181818,20,-14.125,16.0,-13.747727272727271,1.0,-14.85
Mrv1909-11222222552D,6.0,-15.090909090909092,6,-14.552272727272726,8.0,-14.0,7.0,-14.05
Mrv1909-11302222542D,7.0,-14.96818181818182,13,-14.354545454545455,7.0,-14.304545454545456,4.0,-14.202272727272726
Mrv1909-05201915042D-1704021549506,8.0,-14.95,93,-12.731818181818182,46.0,-12.720454545454546,28.0,-13.240909090909092
Mrv0541-02231216202D-1704021538337,9.0,-14.9,55,-13.25,,,,
Mrv1572004191602432D,10.0,-14.85,44,-13.388636363636364,4.0,-14.431818181818182,26.0,-13.327272727272726
Mrv1909-06162017422D,11.0,-14.734090909090908,39,-13.477272727272728,9.0,-13.909090909090908,11.0,-13.9
Mrv0541-08301318242D,12.0,-14.563636363636364,43,-13.393181818181818,17.0,-13.72272727272727,20.0,-13.647727272727272
Mrv1572004221606122D,13.0,-14.554545454545456,88,-12.797727272727274,2.0,-15.5,49.0,-12.7
Mrv1909-05201914272D-1704021549171,14.0,-14.470454545454546,23,-13.85,14.0,-13.78181818181818,12.0,-13.888636363636364
Mrv0541-04191212162D-1704021536512,15.0,-14.461363636363636,8,-14.477272727272728,12.0,-13.84772727272727,14.0,-13.78181818181818
Mrv1909-07152216002D,16.0,-14.447727272727274,18,-14.15,32.0,-13.10681818181818,19.0,-13.65
Mrv1652310211601272D-1704021547068,17.0,-14.411363636363635,38,-13.497727272727271,42.0,-12.85,13.0,-13.861363636363636
Mrv1909-12101919052D,18.0,-14.35,31,-13.6,41.0,-12.85,17.0,-13.7
Mrv1909-03042003442D,19.0,-14.24318181818182,10,-14.445454545454544,22.0,-13.46818181818182,24.0,-13.445454545454544
Mrv1718006121812052D,20.0,-14.195454545454544,53,-13.254545454545456,45.0,-12.727272727272728,16.0,-13.75
Mrv1909-02212019082D,21.0,-14.195454545454544,98,-12.693181818181818,29.0,-13.234090909090908,34.0,-13.043181818181818
Mrv1909-05201915052D-1704021549512,22.0,-14.134090909090908,17,-14.25,27.0,-13.302272727272726,8.0,-13.956818181818182
Mrv1652310201622512D,23.0,-14.090909090909092,33,-13.55,31.0,-13.127272727272729,29.0,-13.2
Lupeol,24.0,-14.05,41,-13.4,65.0,-11.85,41.0,-12.86818181818182
1199,25.0,-13.977272727272728,21,-14.08409090909091,34.0,-13.063636363636364,27.0,-13.25
Mrv1909-07282220332D,26.0,-13.95,74,-12.947727272727274,64.0,-11.854545454545455,38.0,-12.95
Mrv0541-02231216492D-1704021539189,27.0,-13.943181818181818,19,-14.145454545454545,5.0,-14.4,59.0,-12.363636363636363
Mrv1909-12171921492D,28.0,-13.93103448275862,63,-13.05909090909091,,,18.0,-13.693181818181818
Mrv1572004101615042D,29.0,-13.893181818181818,27,-13.68409090909091,15.0,-13.75,15.0,-13.770454545454545
Mrv0541-04191212112D,30.0,-13.745454545454544,89,-12.795454545454543,19.0,-13.640909090909089,40.0,-12.888636363636364
Mrv1909-05201914582D-1704021549449,31.0,-13.74318181818182,36,-13.54090909090909,61.0,-12.079545454545457,65.0,-12.172727272727274
Mrv1572004221603222D,32.0,-13.740909090909092,16,-14.318181818181818,30.0,-13.195454545454544,37.0,-12.965909090909092
Mrv1652306231722452D-1704021548255,33.0,-13.68409090909091,51,-13.270454545454545,44.0,-12.825,31.0,-13.104545454545455
Mrv1652310211604252D-1704021547515,34.0,-13.65,52,-13.268181818181818,23.0,-13.418181818181818,25.0,-13.390909090909089
Mrv1909-05212117472D,35.0,-13.634090909090908,14,-14.35,0.0,-15.95,10.0,-13.9
Mrv1909-05201915082D-1704021549536,36.0,-13.611363636363636,58,-13.104545454545455,21.0,-13.525,55.0,-12.502272727272729
E04,37.0,-13.6,81,-12.85,66.0,-11.811363636363636,70.0,-11.954545454545457
Mrv1572012161520342D,38.0,-13.6,97,-12.7,39.0,-12.854545454545455,45.0,-12.75
Mrv1652310201623072D-1704021546258,39.0,-13.595454545454544,34,-13.55,58.0,-12.15,51.0,-12.65
Mrv1909-08212014252D,40.0,-13.588636363636365,70,-12.954545454545457,48.0,-12.6,57.0,-12.5
Mrv1652306131722012D-1704021542073,41.0,-13.584090909090907,82,-12.85,28.0,-13.252272727272729,50.0,-12.65227272727273
Mrv1652310211600172D,42.0,-13.481818181818182,85,-12.811363636363636,54.0,-12.311363636363636,36.0,-13.0
Mrv0541-04191212172D,43.0,-13.47272727272727,64,-13.05,53.0,-12.429545454545456,67.0,-12.09772727272727
Mrv1909-10112218212D,44.0,-13.393181818181818,37,-13.5,56.0,-12.206818181818182,47.0,-12.74318181818182
Mrv1652310211600202D-1704021546784,45.0,-13.393181818181818,94,-12.71818181818182,47.0,-12.7,44.0,-12.752272727272729
Mrv1909-09142016392D,46.0,-13.35,40,-13.4,24.0,-13.388636363636364,39.0,-12.909090909090908
Mrv1909-09102114432D,47.0,-13.3,90,-12.793181818181818,11.0,-13.85,22.0,-13.488636363636363
Mrv1909-03072017262D,48.0,-13.3,96,-12.7,10.0,-13.85,23.0,-13.477272727272728
Mrv1909-12152020022D-1704021550328,49.0,-13.21818181818182,91,-12.761363636363637,35.0,-13.0,32.0,-13.104545454545455
Mrv1909-10112218422D,50.0,-13.202272727272726,48,-13.35,20.0,-13.547727272727274,30.0,-13.195454545454544
Mrv1652310201623482D-1704021546611,51.0,-13.2,80,-12.85,25.0,-13.363636363636363,33.0,-13.05
Mrv1909-03182218372D,52.0,-13.19772727272727,87,-12.8,37.0,-12.897727272727272,42.0,-12.75681818181818
Mrv1572004111623132D,53.0,-13.179545454545456,66,-13.036363636363635,13.0,-13.788636363636364,35.0,-13.02727272727273
Mrv1909-09132216432D-1704021550567,54.0,-13.15227272727273,57,-13.140909090909092,40.0,-12.852272727272728,56.0,-12.5
Mrv1909-05212014182D,55.0,-13.1,84,-12.829545454545457,,,61.0,-12.318181818181818
Mrv1909-03022014522D,56.0,-13.1,60,-13.1,67.0,-11.65,74.0,-11.770454545454545
Mrv1909-05141920162D,57.0,-13.02727272727273,95,-12.70909090909091,50.0,-12.534090909090908,60.0,-12.35
Mrv1909-12231902552D,58.0,-13.009090909090908,69,-12.981818181818182,36.0,-12.925,53.0,-12.602272727272728
Mrv1652310211601282D,59.0,-13.0,54,-13.25,49.0,-12.570454545454544,69.0,-11.963636363636365
Mrv0541-05041401352D,60.0,-12.952272727272726,79,-12.852272727272728,60.0,-12.118181818181816,62.0,-12.293181818181818
Mrv1652305011717592D,61.0,-12.95,62,-13.061363636363636,43.0,-12.829545454545457,58.0,-12.461363636363636
Mrv1909-02102018162D,62.0,-12.945454545454544,65,-13.05,52.0,-12.45,46.0,-12.747727272727271
Mrv1652310211604462D,63.0,-12.927272727272726,59,-13.102272727272728,33.0,-13.1,54.0,-12.597727272727274
Mrv1652310201623012D-1704021546192,64.0,-12.611363636363636,71,-12.95,62.0,-12.00681818181818,75.0,-11.66590909090909
Mrv1652310211600112D-1704021546740,65.0,-12.556818181818182,61,-13.1,51.0,-12.513636363636364,52.0,-12.65
Mrv1572001261621122D,66.0,-12.502272727272729,86,-12.802272727272726,63.0,-11.922727272727274,63.0,-12.272727272727272
Mrv1909-12181921482D,67.0,-12.5,92,-12.759090909090908,55.0,-12.304545454545456,68.0,-12.05
Mrv1652306231722482D,68.0,-12.46818181818182,73,-12.95,57.0,-12.206818181818182,72.0,-11.85
Mrv1652310211602442D-1704021547279,69.0,-12.40227272727273,76,-12.890909090909092,59.0,-12.15,71.0,-11.931818181818182
Mrv1718009221814542D,70.0,-12.372727272727271,83,-12.836363636363636,38.0,-12.895454545454545,64.0,-12.263636363636364
Mrv1909-10091921542D,,,0,-17.74705882352941,,,,
Mrv1909-08181923252D,,,2,-15.5,,,,
Mrv1909-12152018162D-1704021550240,,,5,-14.770454545454545,,,,
Mrv1909-11142221202D,,,7,-14.50681818181818,,,6.0,-14.073333333333332
Mrv1652306131722002D-1704021541914,,,11,-14.43409090909091,,,,
Mrv0541-02241205522D,,,12,-14.413636363636364,,,,
Mrv1652310211600032D,,,22,-13.85,,,,
Mrv1572004031622122D,,,24,-13.8,,,,
Mrv1909-07282218542D,,,25,-13.797727272727274,,,66.0,-12.138095238095238
Mrv1909-01142022502D,,,26,-13.704545454545457,3.0,-14.6,2.0,-14.227272727272728
Mrv1718003261822352D,,,28,-13.65227272727273,,,,
Mrv1572004221603202D,,,29,-13.643181818181818,,,,
Mrv0541-05031422282D,,,30,-13.604545454545455,,,,
Mrv1909-02062023042D,,,32,-13.55,,,21.0,-13.595454545454544
Mrv0541-04191212132D-1704021535776,,,35,-13.543181818181818,,,,
Mrv0541-05041408582D,,,42,-13.397727272727272,,,,
Mrv1909-01032022272D,,,45,-13.386363636363637,,,,
Mrv1909-12152018152D,,,46,-13.385185185185184,,,,
Mrv1652306231722402D-1704021547864,,,47,-13.35,,,,
Mrv1909-12091921202D,,,49,-13.3,,,,
Mrv1909-02092017092D,,,50,-13.279545454545454,,,48.0,-12.715909090909092
Mrv1909-10091920162D,,,56,-13.172727272727274,,,,
Mrv1909-03102001362D,,,67,-13.00681818181818,,,,
Mrv1652310211602132D-1704021547211,,,68,-13.0,,,,
Mrv1909-01172019092D,,,72,-12.95,,,73.0,-11.806818181818182
Mrv1652310171623502D-1704021545870,,,75,-12.919444444444444,,,,
Mrv1718008191817332D,,,77,-12.886363636363637,,,43.0,-12.754545454545456
Mrv1572004221603192D-1704021548029,,,78,-12.879545454545456,,,,
Mrv0541-05031422022D,,,99,-12.668181818181818,,,,
Mrv1909-05201914432D-1704021549333,,,100,-12.654545454545454,,,,
